       x [in]         y [in]         z [in]    Bx [Vs/m^2]    By [Vs/m^2]    Bz [Vs/m^2]  
---------------------------------------------------------------------------------------------
     -0.84058          -0.98       -20.6394  -8.77906e-011   3.88938e-021              0
     -0.84058          -0.98       -20.5363              0   4.25107e-021  -3.67484e-006
     -0.84058          -0.98       -20.4331              0    4.7585e-021  -7.02692e-006
     -0.84058          -0.98       -20.3299              0   5.62063e-021   -9.7735e-006
     -0.84058          -0.98       -20.2268  -3.13958e-022   7.11866e-021  -1.16599e-005
     -0.84058          -0.98       -20.1236              0   7.56494e-021  -1.22544e-005
     -0.84058          -0.98       -20.0205  -4.29977e-022   9.22657e-021   -1.1494e-005
     -0.84058          -0.98       -19.9173   -4.8288e-022   7.61063e-010  -9.44018e-006
     -0.84058          -0.98       -19.8142              0    1.1611e-020  -6.19549e-006
     -0.84058          -0.98        -19.711              0   1.17202e-020  -2.15602e-006
     -0.84058          -0.98       -19.6078   6.72421e-022   1.19751e-020   2.17899e-006
     -0.84058          -0.98       -19.5047              0   1.10251e-020   6.23584e-006
     -0.84058          -0.98       -19.4015  -1.42846e-008     1.003e-020   9.47244e-006
     -0.84058          -0.98       -19.2984              0   8.91437e-021   1.15201e-005
     -0.84058          -0.98       -19.1952   8.95208e-009   7.83637e-021   1.22303e-005
     -0.84058          -0.98        -19.092              0   6.86833e-021   1.15833e-005
     -0.84058          -0.98       -18.9889              0  -7.27641e-010   9.75166e-006
     -0.84058          -0.98       -18.8857     2.607e-022   4.57008e-021   7.04989e-006
     -0.84058          -0.98       -18.7826              0   4.12083e-021   3.68281e-006
     -0.84058          -0.98       -18.6794   3.61231e-010   4.01308e-021              0
     -0.84058      -0.876842       -20.6394              0  -3.68129e-006              0
     -0.84058      -0.876842       -20.5363  -3.02595e-022   -3.8406e-006  -3.83874e-006
     -0.84058      -0.876842       -20.4331  -1.42465e-022  -4.32464e-006  -7.36672e-006
     -0.84058      -0.876842       -20.3299  -1.20296e-022  -5.10511e-006  -1.02316e-005
     -0.84058      -0.876842       -20.2268  -1.03284e-021  -6.14252e-006  -1.21285e-005
     -0.84058      -0.876842       -20.1236  -8.84818e-023  -7.31258e-006  -1.28624e-005
     -0.84058      -0.876842       -20.0205  -7.90296e-022  -8.57279e-006  -1.21448e-005
     -0.84058      -0.876842       -19.9173  -4.75449e-022   -9.7678e-006  -9.98494e-006
     -0.84058      -0.876842       -19.8142  -2.44627e-022  -1.06366e-005  -6.55884e-006
     -0.84058      -0.876842        -19.711   2.57829e-022  -1.11324e-005  -2.29866e-006
     -0.84058      -0.876842       -19.6078  -2.51315e-022  -1.11261e-005   2.30919e-006
     -0.84058      -0.876842       -19.5047   7.15673e-023  -1.06372e-005    6.5941e-006
     -0.84058      -0.876842       -19.4015   3.35612e-022   -9.7512e-006   1.00086e-005
     -0.84058      -0.876842       -19.2984   2.71519e-022  -8.60511e-006   1.21607e-005
     -0.84058      -0.876842       -19.1952  -1.63216e-022  -7.31256e-006   1.28661e-005
     -0.84058      -0.876842        -19.092   5.65686e-022  -6.11984e-006   1.21711e-005
     -0.84058      -0.876842       -18.9889   1.16277e-021   -5.1019e-006   1.02555e-005
     -0.84058      -0.876842       -18.8857   6.09249e-022  -4.31992e-006   7.37215e-006
     -0.84058      -0.876842       -18.7826    3.0244e-022  -3.83845e-006   3.84148e-006
     -0.84058      -0.876842       -18.6794              0  -3.67403e-006   1.86477e-022
     -0.84058      -0.773684       -20.6394   4.11093e-009  -7.04744e-006  -1.55443e-022
     -0.84058      -0.773684       -20.5363              0  -7.35632e-006  -4.32437e-006
     -0.84058      -0.773684       -20.4331  -2.85926e-022  -8.30329e-006  -8.29257e-006
     -0.84058      -0.773684       -20.3299  -3.41481e-022  -9.82303e-006  -1.16042e-005
     -0.84058      -0.773684       -20.2268   3.37857e-022  -1.18367e-005  -1.38685e-005
     -0.84058      -0.773684       -20.1236  -8.75547e-022  -1.42499e-005  -1.47469e-005
     -0.84058      -0.773684       -20.0205   5.41705e-022  -1.67554e-005  -1.40146e-005
     -0.84058      -0.773684       -19.9173  -4.19083e-022  -1.90755e-005  -1.15297e-005
     -0.84058      -0.773684       -19.8142   2.24773e-022  -2.08712e-005  -7.62958e-006
     -0.84058      -0.773684        -19.711   2.88806e-022  -2.18679e-005  -2.65778e-006
     -0.84058      -0.773684       -19.6078              0  -2.18891e-005   2.69519e-006
     -0.84058      -0.773684       -19.5047  -1.19405e-022  -2.08463e-005   7.70261e-006
     -0.84058      -0.773684       -19.4015   2.55185e-022  -1.90721e-005   1.16136e-005
     -0.84058      -0.773684       -19.2984   7.50669e-022  -1.67533e-005   1.40319e-005
     -0.84058      -0.773684       -19.1952    1.0709e-022  -1.42476e-005    1.4737e-005
     -0.84058      -0.773684        -19.092   1.80029e-022  -1.18599e-005   1.38885e-005
     -0.84058      -0.773684       -18.9889   3.37927e-022  -9.80274e-006   1.16117e-005
     -0.84058      -0.773684       -18.8857   3.30627e-022  -8.29511e-006   8.30963e-006
     -0.84058      -0.773684       -18.7826   1.42734e-022  -7.36437e-006   4.32706e-006
     -0.84058      -0.773684       -18.6794              0   -7.0287e-006              0
     -0.84058      -0.670526       -20.6394  -3.68822e-022  -9.76051e-006              0
     -0.84058      -0.670526       -20.5363              0  -1.02474e-005  -5.09668e-006
     -0.84058      -0.670526       -20.4331   3.16541e-022  -1.16056e-005  -9.80298e-006
     -0.84058      -0.670526       -20.3299  -2.41815e-022  -1.38248e-005  -1.38259e-005
     -0.84058      -0.670526       -20.2268  -3.13179e-022  -1.67678e-005   -1.6716e-005
     -0.84058      -0.670526       -20.1236              0  -2.02653e-005  -1.78065e-005
     -0.84058      -0.670526       -20.0205  -4.09624e-022  -2.39685e-005  -1.70678e-005
     -0.84058      -0.670526       -19.9173  -2.17015e-022  -2.74137e-005  -1.41935e-005
     -0.84058      -0.670526       -19.8142   4.67064e-022  -3.01068e-005  -9.45991e-006
     -0.84058      -0.670526        -19.711   -8.7078e-023  -3.15993e-005  -3.30004e-006
     -0.84058      -0.670526       -19.6078   -9.6725e-023  -3.15622e-005   3.33578e-006
     -0.84058      -0.670526       -19.5047   1.19156e-022  -3.01027e-005   9.47788e-006
     -0.84058      -0.670526       -19.4015  -3.23682e-022  -2.74515e-005   1.41805e-005
     -0.84058      -0.670526       -19.2984   2.06397e-022  -2.39317e-005   1.70981e-005
     -0.84058      -0.670526       -19.1952  -1.15377e-022  -2.02733e-005   1.78401e-005
     -0.84058      -0.670526        -19.092   1.38153e-022  -1.67738e-005   1.66233e-005
     -0.84058      -0.670526       -18.9889  -2.95416e-022  -1.38165e-005   1.38263e-005
     -0.84058      -0.670526       -18.8857   3.47023e-022  -1.16058e-005   9.82284e-006
     -0.84058      -0.670526       -18.7826   3.07786e-022  -1.02634e-005   5.07348e-006
     -0.84058      -0.670526       -18.6794              0  -9.76596e-006   3.72862e-022
     -0.84058      -0.567368       -20.6394              0  -1.15819e-005              0
     -0.84058      -0.567368       -20.5363  -5.07839e-022  -1.21729e-005  -6.13637e-006
     -0.84058      -0.567368       -20.4331              0  -1.38741e-005  -1.18948e-005
     -0.84058      -0.567368       -20.3299              0   -1.6623e-005   -1.6783e-005
